user_id,artist_id,first_stream_date,cohort_label
79,2,2024-09-30,Viral Adopter
80,2,2025-01-16,Late Casual
81,2,2024-09-04,Early Fan
82,2,2024-10-04,Viral Adopter
83,1,2023-11-13,Viral Adopter
84,1,2023-09-26,Early Fan
85,1,2023-12-05,Late Casual
86,2,2024-09-28,Viral Adopter
87,2,2024-08-20,Day One
88,1,2024-01-30,Late Casual
89,2,2025-01-13,Late Casual
90,2,2024-10-05,Viral Adopter
91,1,2023-09-23,Early Fan
92,2,2024-12-23,Late Casual
93,2,2024-08-24,Day One
94,1,2023-11-15,Viral Adopter
95,2,2024-08-26,Day One
96,1,2023-09-23,Early Fan
97,2,2024-11-27,Late Casual
98,2,2024-10-15,Viral Adopter
99,2,2024-09-22,Viral Adopter
100,1,2023-09-26,Early Fan
101,2,2025-02-09,Late Casual
102,2,2024-09-14,Early Fan
103,1,2023-09-06,Day One
104,2,2024-10-01,Viral Adopter
105,1,2023-10-01,Early Fan
106,2,2024-08-22,Day One
107,1,2024-02-18,Late Casual
108,1,2023-10-22,Viral Adopter
109,1,2023-12-22,Late Casual
110,2,2024-09-22,Viral Adopter
111,1,2023-09-10,Day One
112,2,2024-08-21,Day One
113,1,2023-12-16,Late Casual
114,1,2023-09-08,Day One
115,2,2024-10-15,Viral Adopter
116,2,2024-09-03,Early Fan
117,1,2023-11-09,Viral Adopter
118,2,2024-09-08,Early Fan
119,2,2024-08-24,Day One
120,2,2024-10-05,Viral Adopter
121,1,2023-09-29,Early Fan
122,1,2023-10-16,Viral Adopter
123,2,2024-10-15,Viral Adopter
124,1,2023-10-17,Viral Adopter
125,2,2024-08-31,Early Fan
126,2,2024-09-25,Viral Adopter
127,2,2025-01-30,Late Casual
128,2,2024-10-06,Viral Adopter
129,2,2024-10-06,Viral Adopter
130,1,2024-01-12,Late Casual
131,2,2025-01-15,Late Casual
132,1,2023-09-29,Early Fan
133,1,2023-12-28,Late Casual
134,2,2024-08-25,Day One
135,2,2024-11-12,Late Casual
136,2,2024-08-30,Early Fan
137,2,2024-09-06,Early Fan
138,1,2024-01-08,Late Casual
139,1,2023-10-02,Early Fan
140,2,2024-09-13,Early Fan
141,1,2023-10-30,Viral Adopter
142,1,2023-10-31,Viral Adopter
143,1,2023-09-12,Day One
144,1,2023-09-15,Early Fan
145,1,2023-09-19,Early Fan
146,1,2023-09-28,Early Fan
147,1,2023-10-10,Viral Adopter
148,1,2023-09-06,Day One
149,2,2024-09-11,Early Fan
150,1,2023-10-09,Viral Adopter
151,1,2024-01-10,Late Casual
152,2,2024-10-03,Viral Adopter
153,1,2023-09-10,Day One
154,2,2024-10-22,Viral Adopter
155,2,2024-11-06,Late Casual
156,1,2023-11-08,Viral Adopter
157,1,2023-09-19,Early Fan
158,2,2024-12-17,Late Casual
159,2,2024-10-23,Viral Adopter
160,1,2023-12-11,Late Casual
161,2,2024-10-06,Viral Adopter
162,1,2023-10-01,Early Fan
163,2,2024-09-21,Early Fan
164,1,2023-11-15,Viral Adopter
165,2,2024-09-01,Early Fan
166,2,2024-09-16,Early Fan
167,2,2024-08-23,Day One
168,2,2024-12-18,Late Casual
169,1,2023-11-30,Late Casual
170,1,2023-10-03,Early Fan
171,1,2023-10-13,Viral Adopter
172,1,2023-09-11,Day One
173,2,2024-10-01,Viral Adopter
174,1,2023-09-21,Early Fan
175,1,2023-10-11,Viral Adopter
176,2,2024-09-18,Early Fan
177,2,2024-09-19,Early Fan
178,2,2024-09-07,Early Fan
179,2,2024-08-20,Day One
180,1,2024-02-21,Late Casual
181,1,2023-09-12,Day One
182,2,2024-09-07,Early Fan
183,2,2024-09-18,Early Fan
184,1,2023-10-03,Early Fan
185,2,2024-09-24,Viral Adopter
186,1,2023-09-15,Early Fan
187,1,2023-10-01,Early Fan
188,2,2024-08-22,Day One
189,2,2024-08-25,Day One
190,2,2024-09-02,Early Fan
191,1,2023-12-06,Late Casual
192,2,2024-08-23,Day One
193,1,2023-10-20,Viral Adopter
194,1,2023-11-05,Viral Adopter
195,2,2024-09-01,Early Fan
196,2,2024-10-21,Viral Adopter
197,2,2024-10-30,Viral Adopter
198,2,2024-10-12,Viral Adopter
199,2,2024-12-31,Late Casual
200,2,2024-09-16,Early Fan
201,1,2023-10-01,Early Fan
202,1,2023-11-01,Viral Adopter
203,1,2023-09-06,Day One
204,1,2023-09-20,Early Fan
205,2,2024-11-04,Late Casual
206,1,2023-10-20,Viral Adopter
207,1,2023-10-06,Early Fan
208,1,2023-09-30,Early Fan
209,2,2024-09-19,Early Fan
210,1,2023-09-15,Early Fan
211,2,2024-11-11,Late Casual
212,1,2023-12-23,Late Casual
213,1,2023-10-27,Viral Adopter
214,2,2024-08-21,Day One
215,2,2024-09-29,Viral Adopter
216,1,2024-01-11,Late Casual
217,2,2025-01-17,Late Casual
218,2,2024-10-14,Viral Adopter
219,1,2023-10-13,Viral Adopter
220,2,2024-09-29,Viral Adopter
221,2,2024-08-26,Day One
222,2,2024-10-05,Viral Adopter
223,2,2024-10-13,Viral Adopter
224,2,2024-10-13,Viral Adopter
225,2,2024-10-17,Viral Adopter
226,2,2024-10-02,Viral Adopter
227,2,2024-10-05,Viral Adopter
228,2,2024-08-21,Day One
229,2,2024-11-08,Late Casual
230,2,2024-10-02,Viral Adopter
231,1,2023-11-10,Viral Adopter
232,2,2024-08-29,Early Fan
233,2,2025-01-21,Late Casual
234,1,2023-10-19,Viral Adopter
235,2,2024-09-24,Viral Adopter
236,1,2024-01-09,Late Casual
237,1,2023-12-07,Late Casual
238,2,2024-10-10,Viral Adopter
239,1,2023-09-11,Day One
240,2,2025-01-07,Late Casual
241,2,2024-12-04,Late Casual
242,2,2024-08-25,Day One
243,1,2023-09-28,Early Fan
244,1,2023-11-02,Viral Adopter
245,2,2024-08-23,Day One
246,2,2024-08-20,Day One
247,2,2024-10-11,Viral Adopter
248,1,2024-02-04,Late Casual
249,2,2024-08-27,Day One
250,2,2025-01-30,Late Casual
251,2,2024-11-19,Late Casual
252,1,2023-12-08,Late Casual
253,2,2024-08-30,Early Fan
254,2,2024-09-21,Early Fan
255,2,2024-09-09,Early Fan
256,1,2024-02-01,Late Casual
257,2,2024-10-17,Viral Adopter
258,2,2024-08-22,Day One
259,1,2023-10-01,Early Fan
260,2,2024-09-07,Early Fan
261,2,2025-01-17,Late Casual
262,1,2023-11-11,Viral Adopter
263,1,2023-10-27,Viral Adopter
264,2,2024-08-21,Day One
265,1,2024-02-08,Late Casual
266,2,2024-10-14,Viral Adopter
267,1,2023-11-25,Late Casual
268,2,2024-09-18,Early Fan
269,1,2023-10-18,Viral Adopter
270,2,2024-09-20,Early Fan
271,2,2024-08-26,Day One
272,2,2024-09-12,Early Fan
273,2,2024-08-22,Day One
274,1,2023-10-02,Early Fan
275,2,2024-10-12,Viral Adopter
276,1,2023-09-24,Early Fan
277,1,2023-09-17,Early Fan
278,1,2023-09-22,Early Fan
279,1,2023-10-09,Viral Adopter
280,2,2024-08-27,Day One
281,2,2024-09-29,Viral Adopter
282,1,2023-09-29,Early Fan
283,1,2023-09-18,Early Fan
284,2,2024-10-09,Viral Adopter
285,1,2023-09-10,Day One
286,1,2024-02-19,Late Casual
287,1,2024-01-15,Late Casual
288,2,2024-09-25,Viral Adopter
289,2,2024-09-09,Early Fan
290,1,2023-10-31,Viral Adopter
291,1,2023-10-17,Viral Adopter
292,2,2024-09-20,Early Fan
293,2,2024-09-02,Early Fan
294,1,2023-09-09,Day One
295,2,2024-09-08,Early Fan
296,1,2023-10-10,Viral Adopter
297,1,2024-02-06,Late Casual
298,2,2024-09-19,Early Fan
299,1,2023-09-10,Day One
300,2,2024-08-27,Day One
301,1,2023-09-27,Early Fan
302,1,2023-10-07,Early Fan
303,2,2024-08-28,Early Fan
304,1,2023-10-01,Early Fan
305,2,2024-09-27,Viral Adopter
306,1,2023-11-13,Viral Adopter
307,1,2023-12-31,Late Casual
308,1,2023-11-10,Viral Adopter
309,2,2024-08-24,Day One
310,1,2023-10-22,Viral Adopter
311,2,2024-08-25,Day One
312,1,2023-10-13,Viral Adopter
313,2,2024-08-20,Day One
314,1,2023-09-10,Day One
315,2,2024-09-01,Early Fan
316,2,2024-08-21,Day One
317,2,2024-09-02,Early Fan
318,2,2024-09-21,Early Fan
319,2,2024-10-03,Viral Adopter
320,2,2024-09-21,Early Fan
321,1,2023-09-13,Early Fan
322,1,2023-11-11,Viral Adopter
323,2,2024-09-19,Early Fan
324,2,2024-12-29,Late Casual
325,2,2025-01-22,Late Casual
326,1,2023-11-22,Late Casual
327,1,2023-09-14,Early Fan
328,1,2023-10-05,Early Fan
329,2,2024-10-19,Viral Adopter
330,1,2023-09-10,Day One
331,1,2023-09-08,Day One
332,1,2023-09-14,Early Fan
333,1,2023-10-24,Viral Adopter
334,2,2024-08-22,Day One
335,1,2023-10-18,Viral Adopter
336,2,2024-09-18,Early Fan
337,1,2023-10-16,Viral Adopter
338,1,2023-10-03,Early Fan
339,1,2023-09-06,Day One
340,1,2023-10-05,Early Fan
341,1,2023-09-18,Early Fan
342,1,2023-09-09,Day One
343,2,2024-09-08,Early Fan
344,1,2023-12-31,Late Casual
345,2,2024-10-02,Viral Adopter
346,2,2024-12-30,Late Casual
347,2,2024-11-11,Late Casual
348,1,2023-10-29,Viral Adopter
349,1,2023-09-17,Early Fan
350,1,2023-11-21,Late Casual
351,1,2023-11-01,Viral Adopter
352,2,2025-01-09,Late Casual
353,1,2023-10-16,Viral Adopter
354,1,2023-10-10,Viral Adopter
355,2,2024-12-26,Late Casual
356,2,2024-10-17,Viral Adopter
357,2,2024-10-08,Viral Adopter
358,1,2023-09-27,Early Fan
359,1,2024-01-22,Late Casual
360,2,2024-10-20,Viral Adopter
361,1,2023-10-05,Early Fan
362,1,2023-10-01,Early Fan
363,1,2023-11-16,Viral Adopter
364,1,2023-09-11,Day One
365,1,2023-09-17,Early Fan
366,1,2023-09-18,Early Fan
367,2,2024-11-01,Late Casual
368,2,2024-09-06,Early Fan
369,2,2024-09-30,Viral Adopter
370,1,2024-03-04,Late Casual
371,1,2023-09-22,Early Fan
372,1,2023-09-11,Day One
373,2,2025-01-18,Late Casual
374,2,2024-10-12,Viral Adopter
375,1,2023-09-06,Day One
376,2,2024-11-28,Late Casual
377,1,2023-10-27,Viral Adopter
378,2,2024-12-19,Late Casual
379,2,2024-08-28,Early Fan
380,2,2024-09-12,Early Fan
381,2,2024-10-24,Viral Adopter
382,2,2024-09-09,Early Fan
383,1,2023-09-07,Day One
384,2,2024-08-23,Day One
385,1,2023-11-04,Viral Adopter
386,2,2024-09-10,Early Fan
387,2,2024-08-24,Day One
388,2,2024-10-27,Viral Adopter
389,1,2023-10-03,Early Fan
390,2,2024-09-01,Early Fan
391,2,2024-10-05,Viral Adopter
392,2,2024-09-15,Early Fan
393,1,2023-10-19,Viral Adopter
394,1,2023-09-10,Day One
395,1,2023-09-07,Day One
396,1,2023-11-12,Viral Adopter
397,2,2024-11-12,Late Casual
398,1,2023-09-13,Early Fan
399,2,2024-09-27,Viral Adopter
400,1,2023-09-12,Day One
401,1,2023-09-29,Early Fan
402,2,2024-08-22,Day One
403,2,2025-01-08,Late Casual
404,1,2023-09-19,Early Fan
405,2,2024-09-05,Early Fan
406,2,2024-10-07,Viral Adopter
407,1,2023-09-09,Day One
408,2,2024-09-04,Early Fan
409,2,2024-08-21,Day One
410,2,2024-12-01,Late Casual
411,1,2023-10-07,Early Fan
412,2,2025-01-21,Late Casual
413,1,2023-09-10,Day One
414,1,2023-09-11,Day One
415,1,2023-12-28,Late Casual
416,1,2023-10-29,Viral Adopter
417,2,2024-09-16,Early Fan
418,2,2024-10-15,Viral Adopter
419,2,2024-09-16,Early Fan
420,1,2023-10-27,Viral Adopter
421,1,2023-10-24,Viral Adopter
422,1,2023-09-12,Day One
423,2,2025-01-05,Late Casual
424,1,2023-09-26,Early Fan
425,2,2024-08-21,Day One
426,2,2024-09-02,Early Fan
427,1,2023-12-02,Late Casual
428,2,2024-09-03,Early Fan
429,1,2023-11-03,Viral Adopter
430,2,2025-01-01,Late Casual
431,2,2024-09-25,Viral Adopter
432,1,2023-10-25,Viral Adopter
433,1,2023-09-22,Early Fan
434,2,2024-09-23,Viral Adopter
435,2,2024-09-14,Early Fan
436,1,2024-02-19,Late Casual
437,2,2024-08-23,Day One
438,2,2024-09-04,Early Fan
439,2,2024-08-21,Day One
440,1,2023-09-23,Early Fan
441,2,2024-08-23,Day One
442,2,2024-11-03,Late Casual
443,1,2023-12-24,Late Casual
444,1,2023-11-06,Viral Adopter
445,2,2024-08-23,Day One
446,1,2023-09-30,Early Fan
447,2,2025-01-16,Late Casual
448,1,2023-09-07,Day One
449,1,2023-10-11,Viral Adopter
450,2,2024-09-08,Early Fan
451,1,2023-11-27,Late Casual
452,2,2024-09-07,Early Fan
453,1,2023-09-05,Day One
454,2,2024-10-12,Viral Adopter
455,1,2023-10-05,Early Fan
456,1,2023-10-24,Viral Adopter
457,2,2024-08-20,Day One
458,1,2023-11-14,Viral Adopter
459,2,2024-09-03,Early Fan
460,1,2023-10-21,Viral Adopter
461,2,2025-01-04,Late Casual
462,1,2023-12-24,Late Casual
463,2,2024-09-30,Viral Adopter
464,1,2023-11-06,Viral Adopter
465,1,2023-11-10,Viral Adopter
466,1,2023-09-06,Day One
467,1,2023-10-24,Viral Adopter
468,2,2024-08-25,Day One
469,1,2023-09-23,Early Fan
470,2,2024-10-10,Viral Adopter
471,1,2023-10-20,Viral Adopter
472,1,2023-09-28,Early Fan
473,2,2024-10-19,Viral Adopter
474,2,2025-02-13,Late Casual
475,1,2023-11-16,Viral Adopter
476,1,2023-10-25,Viral Adopter
477,1,2023-09-21,Early Fan
478,2,2025-01-15,Late Casual
479,2,2024-09-13,Early Fan
480,1,2024-02-07,Late Casual
481,2,2025-02-14,Late Casual
482,2,2024-10-27,Viral Adopter
483,2,2025-02-09,Late Casual
484,2,2024-09-03,Early Fan
485,1,2023-12-05,Late Casual
486,1,2023-10-31,Viral Adopter
487,1,2023-09-17,Early Fan
488,1,2023-09-05,Day One
489,2,2024-10-28,Viral Adopter
490,2,2024-12-21,Late Casual
491,1,2024-01-03,Late Casual
492,1,2023-12-06,Late Casual
493,1,2023-09-25,Early Fan
494,2,2024-09-03,Early Fan
495,1,2023-10-10,Viral Adopter
496,2,2024-10-03,Viral Adopter
497,1,2023-09-13,Early Fan
498,1,2023-10-31,Viral Adopter
499,2,2024-10-11,Viral Adopter
500,2,2024-10-13,Viral Adopter
501,1,2023-10-22,Viral Adopter
502,2,2024-10-11,Viral Adopter
503,2,2024-08-26,Day One
504,2,2024-12-29,Late Casual
505,1,2023-10-05,Early Fan
506,2,2024-10-23,Viral Adopter
507,1,2023-09-08,Day One
508,2,2024-10-01,Viral Adopter
509,1,2024-01-14,Late Casual
510,1,2023-09-06,Day One
511,1,2024-02-18,Late Casual
512,2,2024-08-22,Day One
513,1,2023-09-05,Day One
514,2,2025-02-14,Late Casual
515,2,2024-10-22,Viral Adopter
516,1,2023-09-08,Day One
517,2,2024-12-24,Late Casual
518,1,2023-10-27,Viral Adopter
519,2,2024-08-23,Day One
520,1,2023-12-06,Late Casual
521,2,2024-09-05,Early Fan
522,2,2024-09-08,Early Fan
523,2,2024-11-26,Late Casual
524,2,2024-10-10,Viral Adopter
525,1,2023-11-03,Viral Adopter
526,2,2024-12-09,Late Casual
527,2,2024-11-19,Late Casual
528,2,2024-09-11,Early Fan
529,1,2024-01-29,Late Casual
530,2,2024-08-31,Early Fan
531,2,2024-09-20,Early Fan
532,2,2024-12-07,Late Casual
533,1,2023-11-12,Viral Adopter
534,2,2024-09-17,Early Fan
535,1,2023-10-26,Viral Adopter
536,2,2024-10-15,Viral Adopter
537,1,2023-09-10,Day One
538,2,2024-12-08,Late Casual
539,2,2025-01-18,Late Casual
540,1,2023-10-18,Viral Adopter
541,2,2024-10-06,Viral Adopter
542,1,2023-10-04,Early Fan
543,2,2024-11-04,Late Casual
544,2,2024-09-16,Early Fan
545,2,2024-08-20,Day One
546,2,2025-01-27,Late Casual
547,2,2024-11-26,Late Casual
548,1,2023-10-12,Viral Adopter
549,1,2023-09-10,Day One
550,2,2024-09-21,Early Fan
551,2,2024-09-08,Early Fan
552,2,2024-09-23,Viral Adopter
553,2,2024-10-29,Viral Adopter
554,1,2023-11-15,Viral Adopter
555,2,2024-10-21,Viral Adopter
556,1,2023-11-04,Viral Adopter
557,2,2024-12-13,Late Casual
558,1,2023-10-12,Viral Adopter
559,1,2023-12-27,Late Casual
560,1,2023-12-13,Late Casual
561,1,2023-09-12,Day One
562,2,2024-12-11,Late Casual
563,1,2023-09-13,Early Fan
564,1,2023-11-30,Late Casual
565,1,2023-10-26,Viral Adopter
566,1,2023-11-04,Viral Adopter
567,1,2023-09-25,Early Fan
568,1,2023-09-10,Day One
569,2,2024-08-26,Day One
570,2,2025-02-08,Late Casual
571,2,2024-09-13,Early Fan
572,1,2023-11-06,Viral Adopter
573,1,2024-02-25,Late Casual
574,2,2024-09-08,Early Fan
575,2,2024-09-28,Viral Adopter
576,1,2023-09-13,Early Fan
577,1,2023-10-04,Early Fan
578,1,2024-02-19,Late Casual
579,1,2023-11-01,Viral Adopter
580,1,2023-09-12,Day One
581,2,2024-10-23,Viral Adopter
582,2,2024-11-23,Late Casual
583,2,2024-08-25,Day One
584,2,2024-08-31,Early Fan
585,2,2024-12-11,Late Casual
586,2,2024-11-15,Late Casual
587,2,2024-10-17,Viral Adopter
588,1,2023-10-02,Early Fan
589,1,2023-10-14,Viral Adopter
590,1,2023-11-06,Viral Adopter
591,2,2024-08-22,Day One
592,2,2024-10-16,Viral Adopter
593,1,2023-10-30,Viral Adopter
594,2,2024-11-27,Late Casual
595,1,2023-09-09,Day One
596,2,2024-09-19,Early Fan
597,1,2023-11-05,Viral Adopter
598,1,2023-10-24,Viral Adopter
599,1,2023-10-14,Viral Adopter
600,1,2023-09-29,Early Fan
601,1,2023-09-08,Day One
602,1,2023-11-11,Viral Adopter
603,2,2024-11-18,Late Casual
604,2,2024-10-31,Viral Adopter
605,1,2023-10-12,Viral Adopter
606,2,2024-12-03,Late Casual
607,2,2024-09-03,Early Fan
608,1,2023-10-29,Viral Adopter
609,1,2023-09-08,Day One
610,1,2023-12-30,Late Casual
611,1,2023-11-02,Viral Adopter
612,2,2024-08-28,Early Fan
613,1,2023-09-07,Day One
614,2,2024-09-09,Early Fan
615,2,2024-08-21,Day One
616,1,2023-10-05,Early Fan
617,2,2025-01-15,Late Casual
618,1,2023-09-08,Day One
619,2,2024-10-06,Viral Adopter
620,1,2023-09-08,Day One
621,2,2024-10-15,Viral Adopter
622,2,2024-10-23,Viral Adopter
623,1,2023-09-28,Early Fan
624,2,2025-02-07,Late Casual
625,2,2024-10-31,Viral Adopter
626,2,2025-01-19,Late Casual
627,2,2024-08-25,Day One
628,2,2024-09-14,Early Fan
629,1,2023-12-04,Late Casual
630,1,2024-01-09,Late Casual
631,2,2025-01-19,Late Casual
632,1,2023-10-22,Viral Adopter
633,2,2024-10-14,Viral Adopter
634,2,2025-02-07,Late Casual
635,1,2023-09-11,Day One
636,1,2023-10-15,Viral Adopter
637,2,2025-01-08,Late Casual
638,1,2023-09-09,Day One
639,2,2024-09-01,Early Fan
640,1,2023-09-25,Early Fan
641,2,2024-12-11,Late Casual
642,1,2023-10-24,Viral Adopter
643,2,2024-10-25,Viral Adopter
644,1,2024-02-17,Late Casual
645,2,2024-09-17,Early Fan
646,1,2024-03-01,Late Casual
647,2,2024-09-03,Early Fan
648,2,2024-10-05,Viral Adopter
649,1,2023-09-16,Early Fan
650,1,2023-09-12,Day One
651,1,2023-09-27,Early Fan
652,2,2024-09-04,Early Fan
653,2,2025-01-10,Late Casual
654,2,2024-10-27,Viral Adopter
655,1,2023-09-05,Day One
656,1,2023-12-31,Late Casual
657,2,2024-09-07,Early Fan
658,1,2024-01-25,Late Casual
659,2,2024-11-01,Late Casual
660,1,2023-10-30,Viral Adopter
661,2,2024-08-27,Day One
662,1,2023-11-11,Viral Adopter
663,1,2023-12-25,Late Casual
664,2,2024-09-02,Early Fan
665,2,2024-09-06,Early Fan
666,2,2024-11-15,Late Casual
667,1,2023-10-12,Viral Adopter
668,1,2023-09-08,Day One
669,2,2024-12-02,Late Casual
670,2,2024-12-25,Late Casual
671,1,2023-09-17,Early Fan
672,1,2023-09-06,Day One
673,1,2023-10-09,Viral Adopter
674,2,2024-09-05,Early Fan
675,1,2023-09-05,Day One
676,1,2023-12-28,Late Casual
677,1,2023-11-22,Late Casual
678,1,2023-09-20,Early Fan
679,1,2023-11-01,Viral Adopter
680,2,2024-08-26,Day One
681,1,2023-09-18,Early Fan
682,2,2024-08-20,Day One
683,1,2023-09-06,Day One
684,2,2024-10-07,Viral Adopter
685,2,2024-12-15,Late Casual
686,2,2024-09-10,Early Fan
687,2,2024-10-18,Viral Adopter
688,1,2023-10-07,Early Fan
689,1,2023-11-08,Viral Adopter
690,2,2024-09-21,Early Fan
691,2,2024-08-22,Day One
692,2,2024-08-27,Day One
693,2,2024-08-27,Day One
694,2,2024-09-15,Early Fan
695,1,2023-09-10,Day One
696,1,2024-01-15,Late Casual
697,2,2025-01-25,Late Casual
698,2,2024-09-15,Early Fan
699,1,2023-09-23,Early Fan
700,2,2024-10-13,Viral Adopter
701,1,2024-02-08,Late Casual
702,2,2024-08-26,Day One
703,1,2023-10-23,Viral Adopter
704,1,2023-09-25,Early Fan
705,2,2024-10-02,Viral Adopter
706,1,2023-09-27,Early Fan
707,2,2024-08-25,Day One
708,2,2024-09-05,Early Fan
709,2,2024-08-24,Day One
710,1,2023-09-15,Early Fan
711,1,2023-10-26,Viral Adopter
712,1,2023-10-17,Viral Adopter
713,2,2024-10-23,Viral Adopter
714,2,2024-08-24,Day One
715,2,2024-08-26,Day One
716,2,2025-01-09,Late Casual
717,2,2024-09-10,Early Fan
718,2,2025-02-09,Late Casual
719,1,2023-11-20,Late Casual
720,2,2024-08-22,Day One
721,1,2024-03-04,Late Casual
722,2,2024-10-26,Viral Adopter
723,2,2024-10-04,Viral Adopter
724,2,2024-12-09,Late Casual
725,1,2023-09-24,Early Fan
726,1,2023-10-30,Viral Adopter
727,1,2023-10-10,Viral Adopter
728,1,2023-10-24,Viral Adopter
729,1,2023-10-29,Viral Adopter
730,2,2024-08-25,Day One
731,2,2024-09-07,Early Fan
732,1,2023-11-23,Late Casual
733,1,2023-10-01,Early Fan
734,1,2023-09-16,Early Fan
735,2,2024-09-07,Early Fan
736,2,2024-08-27,Day One
737,2,2024-08-22,Day One
738,1,2023-09-13,Early Fan
739,2,2024-08-30,Early Fan
740,2,2024-12-29,Late Casual
741,1,2023-11-04,Viral Adopter
742,2,2024-10-09,Viral Adopter
743,1,2023-09-18,Early Fan
744,2,2025-01-26,Late Casual
745,1,2023-11-10,Viral Adopter
746,2,2024-08-27,Day One
747,2,2024-09-19,Early Fan
748,2,2024-12-05,Late Casual
749,2,2024-09-27,Viral Adopter
750,1,2024-02-12,Late Casual
751,1,2023-09-27,Early Fan
752,1,2023-11-25,Late Casual
753,1,2023-09-26,Early Fan
754,2,2024-08-27,Day One
755,1,2023-09-13,Early Fan
756,2,2024-08-21,Day One
757,2,2024-10-08,Viral Adopter
758,2,2025-02-03,Late Casual
759,1,2023-11-27,Late Casual
760,2,2024-10-17,Viral Adopter
761,2,2024-09-25,Viral Adopter
762,1,2024-01-27,Late Casual
763,2,2024-10-15,Viral Adopter
764,2,2025-01-26,Late Casual
765,1,2024-02-02,Late Casual
766,2,2024-09-03,Early Fan
767,1,2023-09-07,Day One
768,1,2023-09-23,Early Fan
769,1,2024-02-07,Late Casual
770,1,2024-01-21,Late Casual
771,1,2023-10-11,Viral Adopter
772,1,2023-09-08,Day One
773,2,2024-08-23,Day One
774,2,2024-11-11,Late Casual
775,2,2024-09-15,Early Fan
776,1,2023-11-01,Viral Adopter
777,1,2024-01-05,Late Casual
778,2,2024-12-22,Late Casual
779,1,2023-11-09,Viral Adopter
780,1,2023-10-03,Early Fan
781,2,2024-10-04,Viral Adopter
782,1,2023-10-07,Early Fan
783,2,2024-09-24,Viral Adopter
784,2,2024-08-26,Day One
785,1,2024-02-18,Late Casual
786,1,2024-02-24,Late Casual
787,2,2025-01-14,Late Casual
788,1,2023-09-16,Early Fan
789,1,2023-11-04,Viral Adopter
790,2,2024-09-03,Early Fan
791,1,2023-09-29,Early Fan
792,2,2024-09-20,Early Fan
793,2,2024-10-21,Viral Adopter
794,1,2023-09-12,Day One
795,1,2023-10-04,Early Fan
796,1,2023-10-09,Viral Adopter
797,1,2023-09-28,Early Fan
798,1,2023-09-10,Day One
799,2,2024-10-10,Viral Adopter
800,1,2023-11-07,Viral Adopter
801,2,2024-10-24,Viral Adopter
802,2,2024-09-06,Early Fan
803,2,2024-08-31,Early Fan
804,2,2024-09-04,Early Fan
805,1,2023-09-08,Day One
806,2,2024-08-24,Day One
807,2,2024-12-12,Late Casual
808,1,2023-09-10,Day One
809,1,2023-09-05,Day One
